accident_date_time,operator_name,pipeline_facility_name,pipeline_location,pipeline_type,liquid_type,accident_city,accident_country,accident_state,accident_latitude,accident_longitude,cause_category,cause_subcategory,unintentional_release_barrels,intentional_release_barrels,liquid_recovery_barrels,net_loss_barrels,liquid_ignition,liquid_explosion,pipeline_shutdown,public_evacuations,operator_employee_injuries,operator_contractor_injuries,emergency_responder_injuries,other_injuries,public_injuries,all_injuries,operator_employee_fatalities,operator_contractor_fatalities,emergency_responder_fatalities,other_fatalities,public_fatalities,all_fatalities,property_damage_costs,lost_commodity_costs,public_private_property_damage_costs,emergency_response_costs,environmental_remediation_costs,other_costs,all_costs
2010-01-01 07:15:00,ONEOK NGL PIPELINE LP,KINDER MORGAN JCT,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",MCPHERSON,MCPHERSON,KS,38.6707,-97.78123,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,21.0,0.1,0.0,21.0,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1517.0,0.0,0.0,0.0,0.0,1627
2010-01-04 08:30:00,PORTLAND PIPELINE CORP,24-INCH MAIN LINE,ONSHORE,ABOVEGROUND,CRUDE OIL,RAYMOND,CUMBERLAND,ME,43.94028,-70.49336,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0.0,0.12,0.0,NO,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,8.0,0.0,0.0,0.0,0.0,4008
2010-01-05 10:30:00,"PETROLOGISTICS OLEFINS, LLC",WYOMING PIPELINE COMPANY,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SULPHER,CALCASIEU,LA,30.1824,-93.3524,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,2.0,0.0,0.0,2.0,NO,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,200
2010-01-06 19:30:00,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",SUPERIOR TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,SUPERIOR,DOUGLAS,WI,46.6893,-92.0612,NATURAL FORCE DAMAGE,TEMPERATURE,0.48,0.0,0.48,0.0,NO,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,40.0,0.0,11300.0,0.0,0.0,11540
2010-01-07 13:00:00,"PLAINS PIPELINE, L.P.",RED RIVER EAST,ONSHORE,UNDERGROUND,CRUDE OIL,SHERMAN,GRAYSON,TX,33.58266,-96.64881,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,700.0,0.0,698.0,2.0,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,150.0,0.0,7500.0,2000.0,0.0,29650
2010-01-08 23:38:00,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",WYOMING PIPELINE COMPANY,ONSHORE,UNDERGROUND,CRUDE OIL,NECHE,PEMBINA,ND,48.99555,-97.52554,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,3784.0,0.0,1547.0,2237.0,NO,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76940.0,167775.0,150000.0,1800000.0,2000000.0,0.0,4194715
2010-01-09 00:15:00,"KINDER MORGAN LIQUID TERMINALS, LLC",WYOMING PIPELINE COMPANY,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,35.0,0.0,30.0,5.0,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,70000.0,0.0,70400
2010-01-09 01:12:00,MOBIL CORP,HULL STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",HULL,LIBERTY,TX,30.08533,-94.3805,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.0,0.24,NO,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,13.0,0.0,0.0,0.0,0.0,413
2010-01-10 19:46:00,"KINDER MORGAN LIQUID TERMINALS, LLC",WYOMING PIPELINE COMPANY,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CUSHING,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.4,0.0,0.4,0.0,NO,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,40000.0,0.0,40336
2010-01-11 14:30:00,CONOCOPHILLIPS,TANK 1501,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PASADENA,HARRIS,TX,29.71478,-95.17611,ALL OTHER CAUSES,MISCELLANEOUS,0.48,0.0,0.48,0.0,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,10000.0,10000.0,10000.0,30050
